NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
377,82.9920424403183,499.0,0.2,0.05,0.8,-NA-
378,84.0925925925926,499.0,0.2,0.05,0.8,-NA-
379,85.20580474934037,506.0,0.2,0.05,0.8,-NA-
380,83.64736842105263,-507.0,0.2,0.05,0.8,-NA-
381,82.10498687664042,-504.0,0.2,0.05,0.8,-NA-
382,83.21465968586388,506.0,0.2,0.05,0.8,-NA-
383,84.30026109660574,499.0,0.2,0.05,0.8,-NA-
384,82.77083333333333,-503.0,0.2,0.05,0.8,-NA-
385,83.87272727272727,507.0,0.2,0.05,0.8,-NA-
386,84.94818652849742,499.0,0.2,0.05,0.8,-NA-
387,83.41343669250647,-509.0,0.2,0.05,0.8,-NA-
388,84.47422680412372,495.0,0.2,0.05,0.8,-NA-
389,85.56041131105398,507.0,0.2,0.05,0.8,-NA-
390,84.04871794871795,-504.0,0.2,0.05,0.8,-NA-
391,82.52429667519182,-512.0,0.2,0.05,0.8,-NA-
392,81.00765306122449,-512.0,0.2,0.05,0.8,-NA-
393,82.07124681933843,499.0,0.2,0.05,0.8,-NA-
394,80.57106598984771,-509.0,0.2,0.05,0.8,-NA-
395,81.63037974683544,499.0,0.2,0.05,0.8,-NA-
396,82.70454545454545,507.0,0.2,0.05,0.8,-NA-
397,81.22670025188917,-504.0,0.2,0.05,0.8,-NA-
398,79.75628140703517,-504.0,0.2,0.05,0.8,-NA-
399,78.28822055137844,-506.0,0.2,0.05,0.8,-NA-
400,76.8125,-512.0,0.2,0.05,0.8,-NA-
401,75.3640897755611,-504.0,0.2,0.05,0.8,-NA-
402,73.92288557213931,-504.0,0.2,0.05,0.8,-NA-
403,72.47642679900744,-509.0,0.2,0.05,0.8,-NA-
404,73.54702970297029,505.0,0.2,0.05,0.8,-NA-
405,72.12098765432098,-504.0,0.2,0.05,0.8,-NA-
406,70.70197044334975,-504.0,0.2,0.05,0.8,-NA-
407,69.28992628992629,-504.0,0.2,0.05,0.8,-NA-
408,70.34313725490196,499.0,0.2,0.05,0.8,-NA-
409,71.41075794621027,507.0,0.2,0.05,0.8,-NA-
410,70.00731707317073,-504.0,0.2,0.05,0.8,-NA-
411,68.58637469586375,-514.0,0.2,0.05,0.8,-NA-
412,67.19417475728156,-505.0,0.2,0.05,0.8,-NA-
413,68.25665859564165,506.0,0.2,0.05,0.8,-NA-
414,69.31159420289855,505.0,0.2,0.05,0.8,-NA-
415,67.91807228915663,-509.0,0.2,0.05,0.8,-NA-
416,66.53365384615384,-508.0,0.2,0.05,0.8,-NA-
417,67.58992805755396,507.0,0.2,0.05,0.8,-NA-
418,66.21291866028709,-508.0,0.2,0.05,0.8,-NA-
419,67.26491646778042,507.0,0.2,0.05,0.8,-NA-
420,68.31190476190476,507.0,0.2,0.05,0.8,-NA-
421,69.34916864608076,505.0,0.2,0.05,0.8,-NA-
422,70.38625592417061,507.0,0.2,0.05,0.8,-NA-
423,69.01891252955083,-508.0,0.2,0.05,0.8,-NA-
424,70.05188679245283,507.0,0.2,0.05,0.8,-NA-
425,71.08,507.0,0.2,0.05,0.8,-NA-
426,69.7300469483568,-504.0,0.2,0.05,0.8,-NA-
427,68.38407494145198,-505.0,0.2,0.05,0.8,-NA-
428,67.02570093457943,-513.0,0.2,0.05,0.8,-NA-
429,68.04662004662005,505.0,0.2,0.05,0.8,-NA-
430,66.71860465116279,-503.0,0.2,0.05,0.8,-NA-
431,67.7215777262181,499.0,0.2,0.05,0.8,-NA-
432,68.73842592592592,507.0,0.2,0.05,0.8,-NA-
